Date,Description,Amount,Category
2026-01-28,Paycheck - Direct Deposit,4500.00,Salary
2026-01-27,Trader Joe's Grocery,-95.43,Food & Dining
2026-01-26,Shell Gas Station,-58.50,Transportation
2026-01-25,Amazon Order,-123.45,Shopping
2026-01-24,Electricity Bill,-142.00,Utilities
2026-01-23,Netflix,-15.99,Subscriptions
2026-01-22,Uber Ride,-24.50,Transportation
2026-01-21,Chipotle Mexican Grill,-14.25,Food & Dining
2026-01-20,Planet Fitness Gym,-29.99,Healthcare
2026-01-19,Apple iTunes,-9.99,Subscriptions
2026-01-18,Target Store,-87.65,Shopping
2026-01-17,Walgreens Pharmacy,-32.50,Healthcare
2026-01-16,Starbucks Coffee,-8.75,Food & Dining
2026-01-15,Paycheck - Direct Deposit,4500.00,Salary
2026-01-14,Home Depot,-156.78,Shopping
2026-01-13,Disney+ Subscription,-13.99,Subscriptions
2026-01-12,Lyft Ride,-18.50,Transportation
2026-01-11,Whole Foods Market,-112.34,Food & Dining
2026-01-10,Water Bill,-65.00,Utilities
2026-01-09,Internet Bill - Comcast,-89.99,Utilities
